8 bit                        ,Adhesive Wombat              ,https://www.youtube.com/watch?v=0HxZn6CzOIo
Bad Guy                      ,Billie Eilish                ,https://www.youtube.com/watch?v=DyDfgMOUjCI
Biffy                        ,Biffy                        ,https://www.youtube.com/watch?v=mR9HdYx4U2E
Bonfire                      ,Knife Party                  ,https://www.youtube.com/watch?v=e-IWRmpefzE
Canned Heat                  ,Jamiroquai                   ,https://www.youtube.com/watch?v=vE4VlA_9OrI
Come                         ,Jain                         ,https://www.youtube.com/watch?v=ZdOlnw7z46w
Daft Punk                    ,Punk Stupide                 ,https://www.youtube.com/watch?v=DpPueG9Fkxs
D.a.n.c.e                    ,Justice                      ,https://www.youtube.com/watch?v=sy1dYFGkPUE
Day Break                    ,Overwerk                     ,https://www.youtube.com/watch?v=A3PDXmYoF5U
DjiDji                       ,Dalida                       ,https://www.youtube.com/watch?v=9XgR-3N50HE
Foals                        ,Foals                        ,https://www.youtube.com/watch?v=ARu_XbUg8bo
Fuya                         ,C2C                          ,https://www.youtube.com/watch?v=1KOaT1vdLmc 
Ghost in the Shell           ,Medley BO                    ,https://www.youtube.com/results?search_query=ghost+in+the+shell+soundtrack
Giorgio                      ,Daft Punk                    ,https://www.youtube.com/watch?v=zhl-Cs1-sG4
Gnossienne                   ,Erik Satie                   ,https://www.youtube.com/watch?v=oOTpQpoHHaw
Going the Distance           ,Rocky Balboa                 ,https://www.youtube.com/watch?v=GvQkl7qa6RQ
Helicopter                   ,Bloc Party                   ,https://www.youtube.com/watch?v=2R6S5CJWlco
Hybrid Stigmata              ,Dimmu Borgir                 ,https://www.youtube.com/watch?v=KlZWv5POkNo
Je vous aime ma mie          ,Rammstein                    ,https://www.youtube.com/watch?v=idtD--EF1Dg
Lone Digger                  ,Caravan Palace               ,https://www.youtube.com/watch?v=UbQgXeY_zi4
Lovecats                     ,The Cure                     ,https://www.youtube.com/watch?v=mcUza_wWCfA
Magnolias forever            ,Cloclo                       ,https://www.youtube.com/watch?v=FfA7LLtE7e4
Major Lazer                  ,Medley                       ,https://www.youtube.com/watch?v=8kKWRPgM-1c
Medley Jimmy                 ,J. Sommerville / Communards  ,https://www.youtube.com/watch?v=2_BNL15OVhM
MEGAMAN                      ,Dr Wily's Castle             ,https://www.youtube.com/watch?v=WJRoRt155mA
Nothing Else Matters         ,Metallica                    ,https://www.youtube.com/watch?v=tAGnKpE4NCI
Pressure in my head          ,Muse et Qotsa                ,https://www.youtube.com/watch?v=h2eKImKZviw
Radio Video                  ,System of a Down             ,https://www.youtube.com/watch?v=qIDzPUt20F4
Rodrigo                      ,Gabriella                    ,https://www.youtube.com/watch?v=PT9hvyDvKHA
Schrodinger                  ,Anakronic Electro Orkestra   ,https://www.youtube.com/watch?v=k3rS4c4WPns
Shanti                       ,Baby Metal                   ,https://www.youtube.com/watch?v=gQnG_T7kbtY
Starlight                    ,Supermen Lovers              ,https://www.youtube.com/watch?v=h61QG4s0I3U
Sur la planche               ,La Femme                     ,https://www.youtube.com/watch?v=NwVA5zYfNWw
The Bay                      ,Metronomy                    ,https://www.youtube.com/watch?v=9PnOG67flRA
Thunderstruck                ,ACDC                         ,https://www.youtube.com/watch?v=e4Ao-iNPPUc
Toccata                      ,Overwerk                     ,https://www.youtube.com/watch?v=ycfM6XGBE30
Tous les memes               ,Stromae                      ,https://www.youtube.com/watch?v=CAMWdvo71ls
Turbo Killer                 ,Carpenter Brut               ,https://www.youtube.com/watch?v=er416Ad3R1g
Uptown Funk                  ,Mark Ronson                  ,https://www.youtube.com/watch?v=OPf0YbXqDm0
Under the Bridge             ,Red Hot Chili Peppers        ,https://www.youtube.com/watch?v=lwlogyj7nFE
War                          ,Hypnotic Brass Ensemble      ,https://www.youtube.com/watch?v=ggOVNYFlP7Q
