2008-11-07 21:32:42 Notice: Notice (8): Undefined index:  prenom in [APP/views/layouts/default.ctp, line 52]
2008-11-07 21:32:42 Notice: Notice (8): Undefined index:  nom in [APP/views/layouts/default.ctp, line 52]
2008-11-07 21:32:43 Notice: Notice (8): Undefined index:  prenom in [APP/views/layouts/default.ctp, line 52]
2008-11-07 21:32:43 Notice: Notice (8): Undefined index:  nom in [APP/views/layouts/default.ctp, line 52]
2008-11-10 12:48:05 Notice: Notice (8): Undefined variable: datePicker in [APP/views/contrats/admin_add.ctp, line 8]
2008-11-10 12:54:20 Notice: Notice (8): Undefined variable: datePicker in [APP/views/contrats/admin_add.ctp, line 8]
2008-11-10 13:25:30 Notice: Notice (8): Undefined index:  Instrument in [APP/views/fanfarons/admin_index.ctp, line 32]
2008-11-10 13:28:06 Notice: Notice (8): Undefined index:  nom in [APP/views/fanfarons/admin_index.ctp, line 38]
2008-11-10 13:51:11 Notice: Notice (8): Undefined index:  User in [APP/controllers/contrats_controller.php, line 121]
2008-11-10 13:51:11 Notice: Notice (8): Undefined index:  nom in [APP/controllers/contrats_controller.php, line 126]
2008-11-10 13:56:07 Notice: Notice (8): Undefined index:  nom in [APP/controllers/contrats_controller.php, line 126]
2008-11-10 14:01:21 Notice: Notice (8): Undefined variable: contrat_id in [APP/views/contrats/admin_relancer.ctp, line 3]
2008-11-10 14:01:21 Notice: Notice (8): Undefined variable: contrat_id in [APP/views/contrats/admin_relancer.ctp, line 11]
2008-11-10 14:03:38 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/contrats_controller.php, line 126]
2008-11-10 14:03:49 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/contrats_controller.php, line 126]
2008-11-10 21:46:07 Notice: Notice (8): Undefined variable: fanfaron in [APP/views/contrats/admin_index.ctp, line 65]
2008-11-10 22:33:38 Notice: Notice (8): Undefined property: Fanfaron::$Instrumentprincipal in [APP/controllers/fanfarons_controller.php, line 70]
2008-11-10 22:36:49 Notice: Notice (8): Undefined index:  instrument_principal in [APP/views/fanfarons/admin_index.ctp, line 38]
2008-11-10 22:49:58 Notice: Notice (8): Undefined property: Fanfaron::$AutreInstruments in [APP/controllers/fanfarons_controller.php, line 90]
2008-11-10 22:55:59 Notice: Notice (8): Undefined index:  InstrumentPrincipal in [APP/views/fanfarons/admin_index.ctp, line 38]
2008-11-11 20:59:56 Notice: Notice (8): Undefined variable: formateurs_cond in [APP/controllers/fanfarons_controller.php, line 21]
2008-11-11 20:59:56 Notice: Notice (8): Undefined variable: paginator in [APP/views/fanfarons/index.ctp, line 5]
2008-11-11 21:00:58 Notice: Notice (8): Undefined variable: formateurs_cond in [APP/controllers/fanfarons_controller.php, line 21]
2008-11-11 21:33:04 Notice: Notice (8): Undefined index:  title in [APP/views/fanfarons/index.ctp, line 15]
2008-11-11 21:33:42 Notice: Notice (8): Undefined index:  title in [APP/views/fanfarons/index.ctp, line 15]
2008-11-11 21:44:08 Notice: Notice (8): Undefined index:  ContratFanfaron in [APP/views/fanfarons/index.ctp, line 40]
2008-11-11 21:44:48 Notice: Notice (8): Undefined index:  ContratFanfaron in [APP/views/fanfarons/index.ctp, line 40]
2008-11-11 21:45:25 Notice: Notice (8): Undefined index:  statut_id in [APP/views/fanfarons/index.ctp, line 41]
2008-11-11 21:58:47 Notice: Notice (8): Undefined index:  Fanfaron in [APP/views/fanfarons/index.ctp, line 39]
2008-11-11 21:59:03 Notice: Notice (8): Undefined index:  Fanfaron in [APP/views/fanfarons/index.ctp, line 39]
2008-11-11 21:59:11 Notice: Notice (8): Undefined index:  Fanfaron in [APP/views/fanfarons/index.ctp, line 39]
2008-11-11 21:59:18 Notice: Notice (8): Undefined index:  Fanfaron in [APP/views/fanfarons/index.ctp, line 39]
2008-11-11 22:17:22 Notice: Notice (8): Undefined variable: fanfaron in [APP/views/fanfarons/edit.ctp, line 4]
2008-11-11 22:18:09 Notice: Notice (8): Undefined variable: fanfaron in [APP/views/fanfarons/edit.ctp, line 4]
2008-11-11 22:31:32 Notice: Notice (8): Undefined variable: fanfaron in [APP/views/fanfarons/edit.ctp, line 4]
